seed,dx,D_diff,time,abs_theta_error
10,0.05,0.0,0.0,135
10,0.05,0.0,0.02,180
10,0.05,0.0,0.04,0
10,0.05,0.0,0.06,135
10,0.05,0.0,0.08,90
10,0.05,0.0,0.1,90
10,0.05,0.0,0.12,45
10,0.05,0.0,0.14,45
10,0.05,0.0,0.16,135
10,0.05,0.0,0.18,135
10,0.05,0.0,0.2,180
10,0.05,0.0,0.22,90
10,0.05,0.0,0.24,90
10,0.05,0.0,0.26,0
10,0.05,0.0,0.28,45
10,0.05,0.0,0.3,0
10,0.05,0.0,0.32,135
10,0.05,0.0,0.34,90
10,0.05,0.0,0.36,45
10,0.05,0.0,0.38,135
10,0.05,0.0,0.4,45
10,0.05,0.0,0.42,0
10,0.05,0.0,0.44,0
10,0.05,0.0,0.46,0
10,0.05,0.0,0.48,0
10,0.05,0.0,0.5,0
10,0.05,0.0,0.52,45
10,0.05,0.0,0.54,45
10,0.05,0.0,0.56,0
10,0.05,0.0,0.58,0
10,0.05,0.0,0.6,90
10,0.05,0.0,0.62,0
10,0.05,0.0,0.64,45
10,0.05,0.0,0.66,45
10,0.05,0.0,0.68,90
10,0.05,0.0,0.7000000000000001,45
10,0.05,0.0,0.72,135
10,0.05,0.0,0.74,135
10,0.05,5.0,0.0,45
10,0.05,5.0,0.02,0
10,0.05,5.0,0.04,0
10,0.05,5.0,0.06,0
10,0.05,5.0,0.08,0
10,0.05,5.0,0.1,90
10,0.05,5.0,0.12,90
10,0.05,5.0,0.14,45
10,0.05,5.0,0.16,90
10,0.05,5.0,0.18,45
10,0.05,5.0,0.2,0
10,0.05,5.0,0.22,45
10,0.05,5.0,0.24,0
10,0.05,5.0,0.26,0
10,0.05,5.0,0.28,45
10,0.05,5.0,0.3,45
10,0.05,5.0,0.32,135
10,0.05,5.0,0.34,90
10,0.05,5.0,0.36,0
10,0.05,5.0,0.38,0
10,0.05,5.0,0.4,90
10,0.05,5.0,0.42,135
10,0.05,5.0,0.44,45
10,0.05,5.0,0.46,45
10,0.05,5.0,0.48,135
10,0.05,5.0,0.5,180
10,0.05,5.0,0.52,45
10,0.05,5.0,0.54,90
10,0.05,5.0,0.56,0
10,0.05,5.0,0.58,45
10,0.05,5.0,0.6,45
10,0.05,5.0,0.62,0
10,0.05,5.0,0.64,45
10,0.05,5.0,0.66,0
10,0.05,5.0,0.68,0
10,0.05,5.0,0.7000000000000001,0
10,0.05,5.0,0.72,90
10,0.05,5.0,0.74,135
10,0.05,10.0,0.0,0
10,0.05,10.0,0.02,135
10,0.05,10.0,0.04,135
10,0.05,10.0,0.06,0
10,0.05,10.0,0.08,0
10,0.05,10.0,0.1,135
10,0.05,10.0,0.12,0
10,0.05,10.0,0.14,90
10,0.05,10.0,0.16,45
10,0.05,10.0,0.18,0
10,0.05,10.0,0.2,90
10,0.05,10.0,0.22,0
10,0.05,10.0,0.24,135
10,0.05,10.0,0.26,45
10,0.05,10.0,0.28,0
10,0.05,10.0,0.3,45
10,0.05,10.0,0.32,45
10,0.05,10.0,0.34,0
10,0.05,10.0,0.36,45
10,0.05,10.0,0.38,0
10,0.05,10.0,0.4,0
10,0.05,10.0,0.42,45
10,0.05,10.0,0.44,0
10,0.05,10.0,0.46,45
10,0.05,10.0,0.48,45
10,0.05,10.0,0.5,135
10,0.05,10.0,0.52,45
10,0.05,10.0,0.54,90
10,0.05,10.0,0.56,0
10,0.05,10.0,0.58,0
10,0.05,10.0,0.6,0
10,0.05,10.0,0.62,0
10,0.05,10.0,0.64,180
10,0.05,10.0,0.66,45
10,0.05,10.0,0.68,0
10,0.05,10.0,0.7000000000000001,45
10,0.05,10.0,0.72,45
10,0.05,10.0,0.74,90
10,0.05,15.0,0.0,180
10,0.05,15.0,0.02,0
10,0.05,15.0,0.04,0
10,0.05,15.0,0.06,0
10,0.05,15.0,0.08,90
10,0.05,15.0,0.1,45
10,0.05,15.0,0.12,0
10,0.05,15.0,0.14,135
10,0.05,15.0,0.16,45
10,0.05,15.0,0.18,0
10,0.05,15.0,0.2,90
10,0.05,15.0,0.22,0
10,0.05,15.0,0.24,180
10,0.05,15.0,0.26,45
10,0.05,15.0,0.28,45
10,0.05,15.0,0.3,90
10,0.05,15.0,0.32,135
10,0.05,15.0,0.34,0
10,0.05,15.0,0.36,90
10,0.05,15.0,0.38,90
10,0.05,15.0,0.4,0
10,0.05,15.0,0.42,45
10,0.05,15.0,0.44,0
10,0.05,15.0,0.46,0
10,0.05,15.0,0.48,0
10,0.05,15.0,0.5,90
10,0.05,15.0,0.52,90
10,0.05,15.0,0.54,0
10,0.05,15.0,0.56,0
10,0.05,15.0,0.58,45
10,0.05,15.0,0.6,0
10,0.05,15.0,0.62,90
10,0.05,15.0,0.64,135
10,0.05,15.0,0.66,180
10,0.05,15.0,0.68,0
10,0.05,15.0,0.7000000000000001,135
10,0.05,15.0,0.72,0
10,0.05,15.0,0.74,180
10,0.05,20.0,0.0,90
10,0.05,20.0,0.02,45
10,0.05,20.0,0.04,45
10,0.05,20.0,0.06,135
10,0.05,20.0,0.08,0
10,0.05,20.0,0.1,0
10,0.05,20.0,0.12,135
10,0.05,20.0,0.14,45
10,0.05,20.0,0.16,0
10,0.05,20.0,0.18,180
10,0.05,20.0,0.2,0
10,0.05,20.0,0.22,45
10,0.05,20.0,0.24,0
10,0.05,20.0,0.26,0
10,0.05,20.0,0.28,0
10,0.05,20.0,0.3,45
10,0.05,20.0,0.32,180
10,0.05,20.0,0.34,45
10,0.05,20.0,0.36,135
10,0.05,20.0,0.38,135
10,0.05,20.0,0.4,0
10,0.05,20.0,0.42,135
10,0.05,20.0,0.44,135
10,0.05,20.0,0.46,90
10,0.05,20.0,0.48,180
10,0.05,20.0,0.5,0
10,0.05,20.0,0.52,180
10,0.05,20.0,0.54,90
10,0.05,20.0,0.56,0
10,0.05,20.0,0.58,90
10,0.05,20.0,0.6,0
10,0.05,20.0,0.62,0
10,0.05,20.0,0.64,0
10,0.05,20.0,0.66,90
10,0.05,20.0,0.68,180
10,0.05,20.0,0.7000000000000001,180
10,0.05,20.0,0.72,0
10,0.05,20.0,0.74,0
10,0.05,25.0,0.0,45
10,0.05,25.0,0.02,45
10,0.05,25.0,0.04,90
10,0.05,25.0,0.06,45
10,0.05,25.0,0.08,0
10,0.05,25.0,0.1,0
10,0.05,25.0,0.12,135
10,0.05,25.0,0.14,90
10,0.05,25.0,0.16,135
10,0.05,25.0,0.18,90
10,0.05,25.0,0.2,90
10,0.05,25.0,0.22,90
10,0.05,25.0,0.24,45
10,0.05,25.0,0.26,45
10,0.05,25.0,0.28,135
10,0.05,25.0,0.3,0
10,0.05,25.0,0.32,45
10,0.05,25.0,0.34,135
10,0.05,25.0,0.36,90
10,0.05,25.0,0.38,135
10,0.05,25.0,0.4,45
10,0.05,25.0,0.42,135
10,0.05,25.0,0.44,180
10,0.05,25.0,0.46,45
10,0.05,25.0,0.48,45
10,0.05,25.0,0.5,0
10,0.05,25.0,0.52,180
10,0.05,25.0,0.54,135
10,0.05,25.0,0.56,45
10,0.05,25.0,0.58,90
10,0.05,25.0,0.6,0
10,0.05,25.0,0.62,45
10,0.05,25.0,0.64,135
10,0.05,25.0,0.66,90
10,0.05,25.0,0.68,90
10,0.05,25.0,0.7000000000000001,135
10,0.05,25.0,0.72,135
10,0.05,25.0,0.74,0
10,0.05,30.0,0.0,0
10,0.05,30.0,0.02,180
10,0.05,30.0,0.04,90
10,0.05,30.0,0.06,45
10,0.05,30.0,0.08,135
10,0.05,30.0,0.1,0
10,0.05,30.0,0.12,90
10,0.05,30.0,0.14,90
10,0.05,30.0,0.16,135
10,0.05,30.0,0.18,135
10,0.05,30.0,0.2,180
10,0.05,30.0,0.22,90
10,0.05,30.0,0.24,180
10,0.05,30.0,0.26,45
10,0.05,30.0,0.28,0
10,0.05,30.0,0.3,135
10,0.05,30.0,0.32,90
10,0.05,30.0,0.34,0
10,0.05,30.0,0.36,45
10,0.05,30.0,0.38,0
10,0.05,30.0,0.4,0
10,0.05,30.0,0.42,90
10,0.05,30.0,0.44,180
10,0.05,30.0,0.46,180
10,0.05,30.0,0.48,180
10,0.05,30.0,0.5,135
10,0.05,30.0,0.52,0
10,0.05,30.0,0.54,90
10,0.05,30.0,0.56,45
10,0.05,30.0,0.58,0
10,0.05,30.0,0.6,0
10,0.05,30.0,0.62,135
10,0.05,30.0,0.64,135
10,0.05,30.0,0.66,45
10,0.05,30.0,0.68,45
10,0.05,30.0,0.7000000000000001,0
10,0.05,30.0,0.72,45
10,0.05,30.0,0.74,45
10,0.05,40.0,0.0,90
10,0.05,40.0,0.02,135
10,0.05,40.0,0.04,135
10,0.05,40.0,0.06,0
10,0.05,40.0,0.08,0
10,0.05,40.0,0.1,0
10,0.05,40.0,0.12,90
10,0.05,40.0,0.14,45
10,0.05,40.0,0.16,45
10,0.05,40.0,0.18,0
10,0.05,40.0,0.2,180
10,0.05,40.0,0.22,135
10,0.05,40.0,0.24,180
10,0.05,40.0,0.26,45
10,0.05,40.0,0.28,90
10,0.05,40.0,0.3,135
10,0.05,40.0,0.32,135
10,0.05,40.0,0.34,90
10,0.05,40.0,0.36,90
10,0.05,40.0,0.38,0
10,0.05,40.0,0.4,90
10,0.05,40.0,0.42,0
10,0.05,40.0,0.44,135
10,0.05,40.0,0.46,135
10,0.05,40.0,0.48,45
10,0.05,40.0,0.5,180
10,0.05,40.0,0.52,45
10,0.05,40.0,0.54,135
10,0.05,40.0,0.56,135
10,0.05,40.0,0.58,135
10,0.05,40.0,0.6,45
10,0.05,40.0,0.62,0
10,0.05,40.0,0.64,0
10,0.05,40.0,0.66,0
10,0.05,40.0,0.68,0
10,0.05,40.0,0.7000000000000001,0
10,0.05,40.0,0.72,135
10,0.05,40.0,0.74,135
10,0.05,50.0,0.0,45
10,0.05,50.0,0.02,90
10,0.05,50.0,0.04,90
10,0.05,50.0,0.06,180
10,0.05,50.0,0.08,135
10,0.05,50.0,0.1,180
10,0.05,50.0,0.12,135
10,0.05,50.0,0.14,90
10,0.05,50.0,0.16,0
10,0.05,50.0,0.18,0
10,0.05,50.0,0.2,180
10,0.05,50.0,0.22,135
10,0.05,50.0,0.24,135
10,0.05,50.0,0.26,45
10,0.05,50.0,0.28,45
10,0.05,50.0,0.3,45
10,0.05,50.0,0.32,0
10,0.05,50.0,0.34,45
10,0.05,50.0,0.36,135
10,0.05,50.0,0.38,45
10,0.05,50.0,0.4,180
10,0.05,50.0,0.42,135
10,0.05,50.0,0.44,135
10,0.05,50.0,0.46,45
10,0.05,50.0,0.48,90
10,0.05,50.0,0.5,45
10,0.05,50.0,0.52,135
10,0.05,50.0,0.54,135
10,0.05,50.0,0.56,0
10,0.05,50.0,0.58,135
10,0.05,50.0,0.6,45
10,0.05,50.0,0.62,0
10,0.05,50.0,0.64,0
10,0.05,50.0,0.66,90
10,0.05,50.0,0.68,90
10,0.05,50.0,0.7000000000000001,45
10,0.05,50.0,0.72,45
10,0.05,50.0,0.74,180
10,0.05,100.0,0.0,0
10,0.05,100.0,0.02,0
10,0.05,100.0,0.04,90
10,0.05,100.0,0.06,0
10,0.05,100.0,0.08,0
10,0.05,100.0,0.1,0
10,0.05,100.0,0.12,135
10,0.05,100.0,0.14,90
10,0.05,100.0,0.16,0
10,0.05,100.0,0.18,0
10,0.05,100.0,0.2,0
10,0.05,100.0,0.22,90
10,0.05,100.0,0.24,135
10,0.05,100.0,0.26,45
10,0.05,100.0,0.28,135
10,0.05,100.0,0.3,45
10,0.05,100.0,0.32,0
10,0.05,100.0,0.34,0
10,0.05,100.0,0.36,0
10,0.05,100.0,0.38,0
10,0.05,100.0,0.4,0
10,0.05,100.0,0.42,0
10,0.05,100.0,0.44,0
10,0.05,100.0,0.46,0
10,0.05,100.0,0.48,0
10,0.05,100.0,0.5,0
10,0.05,100.0,0.52,0
10,0.05,100.0,0.54,0
10,0.05,100.0,0.56,0
10,0.05,100.0,0.58,0
10,0.05,100.0,0.6,0
10,0.05,100.0,0.62,0
10,0.05,100.0,0.64,0
10,0.05,100.0,0.66,0
10,0.05,100.0,0.68,0
10,0.05,100.0,0.7000000000000001,0
10,0.05,100.0,0.72,0
10,0.05,100.0,0.74,0
11,0.05,0.0,0.0,45
11,0.05,0.0,0.02,0
11,0.05,0.0,0.04,45
11,0.05,0.0,0.06,0
11,0.05,0.0,0.08,135
11,0.05,0.0,0.1,0
11,0.05,0.0,0.12,45
11,0.05,0.0,0.14,45
11,0.05,0.0,0.16,0
11,0.05,0.0,0.18,0
11,0.05,0.0,0.2,45
11,0.05,0.0,0.22,0
11,0.05,0.0,0.24,0
11,0.05,0.0,0.26,0
11,0.05,0.0,0.28,135
11,0.05,0.0,0.3,45
11,0.05,0.0,0.32,0
11,0.05,0.0,0.34,0
11,0.05,0.0,0.36,0
11,0.05,0.0,0.38,45
11,0.05,0.0,0.4,45
11,0.05,0.0,0.42,135
11,0.05,0.0,0.44,90
11,0.05,0.0,0.46,0
11,0.05,0.0,0.48,90
11,0.05,0.0,0.5,0
11,0.05,0.0,0.52,0
11,0.05,0.0,0.54,90
11,0.05,0.0,0.56,0
11,0.05,0.0,0.58,0
11,0.05,0.0,0.6,135
11,0.05,0.0,0.62,0
11,0.05,0.0,0.64,45
11,0.05,0.0,0.66,45
11,0.05,0.0,0.68,0
11,0.05,0.0,0.7000000000000001,45
11,0.05,0.0,0.72,0
11,0.05,0.0,0.74,0
11,0.05,5.0,0.0,0
11,0.05,5.0,0.02,0
11,0.05,5.0,0.04,0
11,0.05,5.0,0.06,0
11,0.05,5.0,0.08,0
11,0.05,5.0,0.1,45
11,0.05,5.0,0.12,135
11,0.05,5.0,0.14,45
11,0.05,5.0,0.16,0
11,0.05,5.0,0.18,135
11,0.05,5.0,0.2,45
11,0.05,5.0,0.22,45
11,0.05,5.0,0.24,0
11,0.05,5.0,0.26,90
11,0.05,5.0,0.28,0
11,0.05,5.0,0.3,135
11,0.05,5.0,0.32,135
11,0.05,5.0,0.34,90
11,0.05,5.0,0.36,180
11,0.05,5.0,0.38,180
11,0.05,5.0,0.4,0
11,0.05,5.0,0.42,0
11,0.05,5.0,0.44,180
11,0.05,5.0,0.46,180
11,0.05,5.0,0.48,45
11,0.05,5.0,0.5,90
11,0.05,5.0,0.52,180
11,0.05,5.0,0.54,0
11,0.05,5.0,0.56,0
11,0.05,5.0,0.58,45
11,0.05,5.0,0.6,0
11,0.05,5.0,0.62,45
11,0.05,5.0,0.64,90
11,0.05,5.0,0.66,90
11,0.05,5.0,0.68,45
11,0.05,5.0,0.7000000000000001,0
11,0.05,5.0,0.72,90
11,0.05,5.0,0.74,90
11,0.05,10.0,0.0,180
11,0.05,10.0,0.02,180
11,0.05,10.0,0.04,0
11,0.05,10.0,0.06,45
11,0.05,10.0,0.08,135
11,0.05,10.0,0.1,135
11,0.05,10.0,0.12,45
11,0.05,10.0,0.14,90
11,0.05,10.0,0.16,45
11,0.05,10.0,0.18,0
11,0.05,10.0,0.2,0
11,0.05,10.0,0.22,45
11,0.05,10.0,0.24,45
11,0.05,10.0,0.26,0
11,0.05,10.0,0.28,0
11,0.05,10.0,0.3,0
11,0.05,10.0,0.32,180
11,0.05,10.0,0.34,135
11,0.05,10.0,0.36,90
11,0.05,10.0,0.38,90
11,0.05,10.0,0.4,45
11,0.05,10.0,0.42,0
11,0.05,10.0,0.44,0
11,0.05,10.0,0.46,0
11,0.05,10.0,0.48,0
11,0.05,10.0,0.5,180
11,0.05,10.0,0.52,0
11,0.05,10.0,0.54,0
11,0.05,10.0,0.56,90
11,0.05,10.0,0.58,180
11,0.05,10.0,0.6,0
11,0.05,10.0,0.62,135
11,0.05,10.0,0.64,0
11,0.05,10.0,0.66,0
11,0.05,10.0,0.68,0
11,0.05,10.0,0.7000000000000001,0
11,0.05,10.0,0.72,90
11,0.05,10.0,0.74,45
11,0.05,15.0,0.0,0
11,0.05,15.0,0.02,0
11,0.05,15.0,0.04,180
11,0.05,15.0,0.06,0
11,0.05,15.0,0.08,90
11,0.05,15.0,0.1,90
11,0.05,15.0,0.12,90
11,0.05,15.0,0.14,135
11,0.05,15.0,0.16,90
11,0.05,15.0,0.18,135
11,0.05,15.0,0.2,180
11,0.05,15.0,0.22,45
11,0.05,15.0,0.24,0
11,0.05,15.0,0.26,0
11,0.05,15.0,0.28,45
11,0.05,15.0,0.3,135
11,0.05,15.0,0.32,135
11,0.05,15.0,0.34,135
11,0.05,15.0,0.36,0
11,0.05,15.0,0.38,0
11,0.05,15.0,0.4,135
11,0.05,15.0,0.42,135
11,0.05,15.0,0.44,0
11,0.05,15.0,0.46,90
11,0.05,15.0,0.48,90
11,0.05,15.0,0.5,135
11,0.05,15.0,0.52,90
11,0.05,15.0,0.54,0
11,0.05,15.0,0.56,90
11,0.05,15.0,0.58,90
11,0.05,15.0,0.6,0
11,0.05,15.0,0.62,180
11,0.05,15.0,0.64,135
11,0.05,15.0,0.66,0
11,0.05,15.0,0.68,45
11,0.05,15.0,0.7000000000000001,45
11,0.05,15.0,0.72,90
11,0.05,15.0,0.74,45
11,0.05,20.0,0.0,0
11,0.05,20.0,0.02,0
11,0.05,20.0,0.04,180
11,0.05,20.0,0.06,0
11,0.05,20.0,0.08,135
11,0.05,20.0,0.1,45
11,0.05,20.0,0.12,0
11,0.05,20.0,0.14,135
11,0.05,20.0,0.16,135
11,0.05,20.0,0.18,90
11,0.05,20.0,0.2,180
11,0.05,20.0,0.22,135
11,0.05,20.0,0.24,0
11,0.05,20.0,0.26,90
11,0.05,20.0,0.28,45
11,0.05,20.0,0.3,180
11,0.05,20.0,0.32,180
11,0.05,20.0,0.34,45
11,0.05,20.0,0.36,90
11,0.05,20.0,0.38,135
11,0.05,20.0,0.4,45
11,0.05,20.0,0.42,0
11,0.05,20.0,0.44,0
11,0.05,20.0,0.46,0
11,0.05,20.0,0.48,45
11,0.05,20.0,0.5,0
11,0.05,20.0,0.52,0
11,0.05,20.0,0.54,90
11,0.05,20.0,0.56,45
11,0.05,20.0,0.58,0
11,0.05,20.0,0.6,45
11,0.05,20.0,0.62,45
11,0.05,20.0,0.64,90
11,0.05,20.0,0.66,0
11,0.05,20.0,0.68,45
11,0.05,20.0,0.7000000000000001,180
11,0.05,20.0,0.72,180
11,0.05,20.0,0.74,135
11,0.05,25.0,0.0,45
11,0.05,25.0,0.02,45
11,0.05,25.0,0.04,135
11,0.05,25.0,0.06,180
11,0.05,25.0,0.08,135
11,0.05,25.0,0.1,45
11,0.05,25.0,0.12,180
11,0.05,25.0,0.14,0
11,0.05,25.0,0.16,90
11,0.05,25.0,0.18,45
11,0.05,25.0,0.2,135
11,0.05,25.0,0.22,0
11,0.05,25.0,0.24,45
11,0.05,25.0,0.26,45
11,0.05,25.0,0.28,0
11,0.05,25.0,0.3,135
11,0.05,25.0,0.32,45
11,0.05,25.0,0.34,135
11,0.05,25.0,0.36,135
11,0.05,25.0,0.38,135
11,0.05,25.0,0.4,135
11,0.05,25.0,0.42,135
11,0.05,25.0,0.44,0
11,0.05,25.0,0.46,45
11,0.05,25.0,0.48,135
11,0.05,25.0,0.5,135
11,0.05,25.0,0.52,90
11,0.05,25.0,0.54,180
11,0.05,25.0,0.56,90
11,0.05,25.0,0.58,0
11,0.05,25.0,0.6,0
11,0.05,25.0,0.62,0
11,0.05,25.0,0.64,45
11,0.05,25.0,0.66,45
11,0.05,25.0,0.68,45
11,0.05,25.0,0.7000000000000001,0
11,0.05,25.0,0.72,0
11,0.05,25.0,0.74,90
11,0.05,30.0,0.0,45
11,0.05,30.0,0.02,90
11,0.05,30.0,0.04,45
11,0.05,30.0,0.06,0
11,0.05,30.0,0.08,0
11,0.05,30.0,0.1,135
11,0.05,30.0,0.12,0
11,0.05,30.0,0.14,45
11,0.05,30.0,0.16,90
11,0.05,30.0,0.18,135
11,0.05,30.0,0.2,135
11,0.05,30.0,0.22,0
11,0.05,30.0,0.24,90
11,0.05,30.0,0.26,135
11,0.05,30.0,0.28,135
11,0.05,30.0,0.3,180
11,0.05,30.0,0.32,0
11,0.05,30.0,0.34,45
11,0.05,30.0,0.36,45
11,0.05,30.0,0.38,0
11,0.05,30.0,0.4,0
11,0.05,30.0,0.42,90
11,0.05,30.0,0.44,90
11,0.05,30.0,0.46,90
11,0.05,30.0,0.48,45
11,0.05,30.0,0.5,90
11,0.05,30.0,0.52,0
11,0.05,30.0,0.54,0
11,0.05,30.0,0.56,90
11,0.05,30.0,0.58,45
11,0.05,30.0,0.6,0
11,0.05,30.0,0.62,0
11,0.05,30.0,0.64,0
11,0.05,30.0,0.66,0
11,0.05,30.0,0.68,0
11,0.05,30.0,0.7000000000000001,90
11,0.05,30.0,0.72,45
11,0.05,30.0,0.74,45
11,0.05,40.0,0.0,0
11,0.05,40.0,0.02,180
11,0.05,40.0,0.04,180
11,0.05,40.0,0.06,135
11,0.05,40.0,0.08,0
11,0.05,40.0,0.1,0
11,0.05,40.0,0.12,180
11,0.05,40.0,0.14,0
11,0.05,40.0,0.16,0
11,0.05,40.0,0.18,45
11,0.05,40.0,0.2,45
11,0.05,40.0,0.22,45
11,0.05,40.0,0.24,135
11,0.05,40.0,0.26,45
11,0.05,40.0,0.28,90
11,0.05,40.0,0.3,90
11,0.05,40.0,0.32,90
11,0.05,40.0,0.34,0
11,0.05,40.0,0.36,45
11,0.05,40.0,0.38,45
11,0.05,40.0,0.4,45
11,0.05,40.0,0.42,45
11,0.05,40.0,0.44,90
11,0.05,40.0,0.46,135
11,0.05,40.0,0.48,135
11,0.05,40.0,0.5,45
11,0.05,40.0,0.52,180
11,0.05,40.0,0.54,180
11,0.05,40.0,0.56,45
11,0.05,40.0,0.58,45
11,0.05,40.0,0.6,135
11,0.05,40.0,0.62,0
11,0.05,40.0,0.64,45
11,0.05,40.0,0.66,90
11,0.05,40.0,0.68,135
11,0.05,40.0,0.7000000000000001,45
11,0.05,40.0,0.72,135
11,0.05,40.0,0.74,45
11,0.05,50.0,0.0,45
11,0.05,50.0,0.02,135
11,0.05,50.0,0.04,45
11,0.05,50.0,0.06,135
11,0.05,50.0,0.08,135
11,0.05,50.0,0.1,180
11,0.05,50.0,0.12,180
11,0.05,50.0,0.14,45
11,0.05,50.0,0.16,0
11,0.05,50.0,0.18,90
11,0.05,50.0,0.2,135
11,0.05,50.0,0.22,45
11,0.05,50.0,0.24,0
11,0.05,50.0,0.26,0
11,0.05,50.0,0.28,0
11,0.05,50.0,0.3,45
11,0.05,50.0,0.32,45
11,0.05,50.0,0.34,45
11,0.05,50.0,0.36,0
11,0.05,50.0,0.38,45
11,0.05,50.0,0.4,180
11,0.05,50.0,0.42,135
11,0.05,50.0,0.44,45
11,0.05,50.0,0.46,135
11,0.05,50.0,0.48,45
11,0.05,50.0,0.5,45
11,0.05,50.0,0.52,135
11,0.05,50.0,0.54,135
11,0.05,50.0,0.56,135
11,0.05,50.0,0.58,45
11,0.05,50.0,0.6,135
11,0.05,50.0,0.62,180
11,0.05,50.0,0.64,180
11,0.05,50.0,0.66,45
11,0.05,50.0,0.68,0
11,0.05,50.0,0.7000000000000001,90
11,0.05,50.0,0.72,45
11,0.05,50.0,0.74,180
11,0.05,100.0,0.0,0
11,0.05,100.0,0.02,180
11,0.05,100.0,0.04,135
11,0.05,100.0,0.06,135
11,0.05,100.0,0.08,180
11,0.05,100.0,0.1,0
11,0.05,100.0,0.12,0
11,0.05,100.0,0.14,0
11,0.05,100.0,0.16,45
11,0.05,100.0,0.18,180
11,0.05,100.0,0.2,90
11,0.05,100.0,0.22,180
11,0.05,100.0,0.24,90
11,0.05,100.0,0.26,45
11,0.05,100.0,0.28,90
11,0.05,100.0,0.3,90
11,0.05,100.0,0.32,45
11,0.05,100.0,0.34,135
11,0.05,100.0,0.36,45
11,0.05,100.0,0.38,90
11,0.05,100.0,0.4,0
11,0.05,100.0,0.42,90
11,0.05,100.0,0.44,0
11,0.05,100.0,0.46,90
11,0.05,100.0,0.48,135
11,0.05,100.0,0.5,135
11,0.05,100.0,0.52,135
11,0.05,100.0,0.54,180
11,0.05,100.0,0.56,0
11,0.05,100.0,0.58,0
11,0.05,100.0,0.6,0
11,0.05,100.0,0.62,90
11,0.05,100.0,0.64,135
11,0.05,100.0,0.66,135
11,0.05,100.0,0.68,45
11,0.05,100.0,0.7000000000000001,135
11,0.05,100.0,0.72,45
11,0.05,100.0,0.74,135
12,0.05,0.0,0.0,0
12,0.05,0.0,0.02,90
12,0.05,0.0,0.04,90
12,0.05,0.0,0.06,0
12,0.05,0.0,0.08,45
12,0.05,0.0,0.1,0
12,0.05,0.0,0.12,0
12,0.05,0.0,0.14,45
12,0.05,0.0,0.16,0
12,0.05,0.0,0.18,0
12,0.05,0.0,0.2,0
12,0.05,0.0,0.22,180
12,0.05,0.0,0.24,0
12,0.05,0.0,0.26,0
12,0.05,0.0,0.28,90
12,0.05,0.0,0.3,0
12,0.05,0.0,0.32,180
12,0.05,0.0,0.34,45
12,0.05,0.0,0.36,45
12,0.05,0.0,0.38,0
12,0.05,0.0,0.4,45
12,0.05,0.0,0.42,0
12,0.05,0.0,0.44,45
12,0.05,0.0,0.46,0
12,0.05,0.0,0.48,90
12,0.05,0.0,0.5,0
12,0.05,0.0,0.52,0
12,0.05,0.0,0.54,135
12,0.05,0.0,0.56,0
12,0.05,0.0,0.58,0
12,0.05,0.0,0.6,0
12,0.05,0.0,0.62,0
12,0.05,0.0,0.64,0
12,0.05,0.0,0.66,0
12,0.05,0.0,0.68,90
12,0.05,0.0,0.7000000000000001,0
12,0.05,0.0,0.72,45
12,0.05,0.0,0.74,90
12,0.05,5.0,0.0,45
12,0.05,5.0,0.02,45
12,0.05,5.0,0.04,0
12,0.05,5.0,0.06,135
12,0.05,5.0,0.08,180
12,0.05,5.0,0.1,180
12,0.05,5.0,0.12,90
12,0.05,5.0,0.14,135
12,0.05,5.0,0.16,180
12,0.05,5.0,0.18,45
12,0.05,5.0,0.2,45
12,0.05,5.0,0.22,45
12,0.05,5.0,0.24,0
12,0.05,5.0,0.26,45
12,0.05,5.0,0.28,0
12,0.05,5.0,0.3,90
12,0.05,5.0,0.32,45
12,0.05,5.0,0.34,135
12,0.05,5.0,0.36,0
12,0.05,5.0,0.38,45
12,0.05,5.0,0.4,0
12,0.05,5.0,0.42,135
12,0.05,5.0,0.44,90
12,0.05,5.0,0.46,45
12,0.05,5.0,0.48,0
12,0.05,5.0,0.5,0
12,0.05,5.0,0.52,135
12,0.05,5.0,0.54,135
12,0.05,5.0,0.56,0
12,0.05,5.0,0.58,45
12,0.05,5.0,0.6,0
12,0.05,5.0,0.62,45
12,0.05,5.0,0.64,90
12,0.05,5.0,0.66,90
12,0.05,5.0,0.68,0
12,0.05,5.0,0.7000000000000001,135
12,0.05,5.0,0.72,0
12,0.05,5.0,0.74,135
12,0.05,10.0,0.0,90
12,0.05,10.0,0.02,90
12,0.05,10.0,0.04,90
12,0.05,10.0,0.06,90
12,0.05,10.0,0.08,180
12,0.05,10.0,0.1,90
12,0.05,10.0,0.12,0
12,0.05,10.0,0.14,135
12,0.05,10.0,0.16,90
12,0.05,10.0,0.18,45
12,0.05,10.0,0.2,90
12,0.05,10.0,0.22,90
12,0.05,10.0,0.24,135
12,0.05,10.0,0.26,0
12,0.05,10.0,0.28,90
12,0.05,10.0,0.3,135
12,0.05,10.0,0.32,90
12,0.05,10.0,0.34,90
12,0.05,10.0,0.36,0
12,0.05,10.0,0.38,45
12,0.05,10.0,0.4,45
12,0.05,10.0,0.42,45
12,0.05,10.0,0.44,0
12,0.05,10.0,0.46,45
12,0.05,10.0,0.48,45
12,0.05,10.0,0.5,90
12,0.05,10.0,0.52,0
12,0.05,10.0,0.54,45
12,0.05,10.0,0.56,135
12,0.05,10.0,0.58,45
